episode,step,pos_x,pos_y,action,action_was_parsed,complexity,depth,reward,cumulative_depth,depth_budget_remaining,done,success
3,66,7,6,down,False,0.34398,0,-0.01,0,150,False,False
3,67,6,6,up,False,0.240646,0,-0.01,0,150,False,False
3,68,7,6,down,False,0.34398,0,-0.01,0,150,False,False
3,69,6,6,up,False,0.240646,0,-0.01,0,150,False,False
3,70,5,6,up,False,0.34398,0,-0.01,0,150,False,False
3,71,5,5,left,False,0.192313,0,-0.01,0,150,False,False
3,72,5,6,right,False,0.380646,0,-0.01,0,150,False,False
3,73,5,7,right,False,0.192313,0,-0.01,0,150,False,False
3,74,4,7,up,False,0.34398,0,-0.01,0,150,False,False
3,75,3,7,up,False,0.192313,0,-0.01,0,150,False,False
3,76,2,7,up,False,0.210646,0,-0.01,0,150,False,False
3,77,2,8,right,False,0.22898,0,-0.01,0,150,False,False
3,78,2,7,left,False,0.210646,0,-0.01,0,150,False,False
3,79,2,6,left,False,0.22898,0,-0.01,0,150,False,False
3,80,3,6,down,False,0.417313,0,-0.01,0,150,False,False
3,81,2,6,up,False,0.22898,0,-0.01,0,150,False,False
3,82,2,7,right,False,0.417313,0,-0.01,0,150,False,False
3,83,1,7,up,False,0.22898,0,-0.01,0,150,False,False
3,84,2,7,down,False,0.417313,0,-0.01,0,150,False,False
3,85,1,7,up,False,0.22898,0,-0.01,0,150,False,False
3,86,2,7,down,False,0.417313,0,-0.01,0,150,False,False
3,87,3,7,down,False,0.22898,0,-0.01,0,150,False,False
3,88,3,8,right,False,0.210646,0,-0.01,0,150,False,False
3,89,3,7,left,False,0.192313,0,-0.01,0,150,False,False
3,90,3,6,left,False,0.210646,0,-0.01,0,150,False,False
3,91,4,6,down,False,0.22898,0,-0.01,0,150,False,False
3,92,4,7,right,False,0.295646,0,-0.01,0,150,False,False
3,93,3,7,up,False,0.192313,0,-0.01,0,150,False,False
3,94,3,6,left,False,0.210646,0,-0.01,0,150,False,False
3,95,3,5,left,False,0.22898,0,-0.01,0,150,False,False
3,96,3,6,right,False,0.417313,0,-0.01,0,150,False,False
3,97,4,6,down,False,0.22898,0,-0.01,0,150,False,False
3,98,5,6,down,False,0.295646,0,-0.01,0,150,False,False
3,99,5,7,right,False,0.192313,0,-0.01,0,150,True,False
4,0,1,0,down,False,0.56398,0,-0.01,0,150,False,False
4,1,2,0,down,False,0.460646,0,-0.01,0,150,False,False
4,2,1,0,up,False,0.442313,0,-0.01,0,150,False,False
4,3,1,1,right,False,0.460646,0,-0.01,0,150,False,False
4,4,1,2,right,False,0.357313,0,-0.01,0,150,False,False
4,5,1,1,left,False,0.42398,0,-0.01,0,150,False,False
4,6,2,1,down,False,0.357313,0,-0.01,0,150,False,False
4,7,1,1,up,False,0.42398,0,-0.01,0,150,False,False
4,8,0,1,up,False,0.357313,0,-0.01,0,150,False,False
4,9,1,1,down,False,0.460646,0,-0.01,0,150,False,False
4,10,1,2,right,False,0.357313,0,-0.01,0,150,False,False
4,11,1,3,right,False,0.42398,0,-0.01,0,150,False,False
4,12,1,2,left,False,0.320646,0,-0.01,0,150,False,False
4,13,0,2,up,False,0.42398,0,-0.01,0,150,False,False
4,14,1,2,down,False,0.442313,0,-0.01,0,150,False,False
4,15,1,3,right,False,0.42398,0,-0.01,0,150,False,False
4,16,1,2,left,False,0.320646,0,-0.01,0,150,False,False
4,17,1,1,left,False,0.42398,0,-0.01,0,150,False,False
4,18,2,1,down,False,0.357313,0,-0.01,0,150,False,False
4,19,1,1,up,False,0.42398,0,-0.01,0,150,False,False
4,20,1,0,left,False,0.357313,0,-0.01,0,150,False,False
4,21,0,0,up,False,0.460646,0,-0.01,0,150,False,False
4,22,1,0,down,False,0.56398,0,-0.01,0,150,False,False
4,23,1,1,right,False,0.460646,0,-0.01,0,150,False,False
4,24,1,0,left,False,0.357313,0,-0.01,0,150,False,False
4,25,2,0,down,False,0.460646,0,-0.01,0,150,False,False
